,State_Name,District_Name,Jan_level,Feb_level,march_level,april_level,may_level,june_level,july_level,aug_level,sep_level,oct_level,nov_level,dec_level,Jan2020_lev
547,MAHARASHTRA,WASHIM,8.34,7,7,7,11.55,7,7,4.49,7,7,4.82,7,7
548,UTTARAKHAND,HARDWAR,9.47,12,12,12,14.32,12,12,10.35,12,12,12.39,12,12
549,CHANDIGARH,CHANDIGARH,19,19.6,19,19,21.38,19,19,21.39,19,15.02,19,19,19
550,JHARKHAND,GARHWA,5.92,6,6,6,8.94,6,6,3.49,6,6,3.74,6,6
551,BIHAR,BANKA,5.32,5,5,5,6.75,5,5,6.04,5,5,2.32,5,5
552,CHHATTISGARH,KORBA,6.42,5,5,5,8.86,5,6.33,4,4.51,5,3.71,5.07,3.48
553,WEST BENGAL,HUGLI,11.9,10,10,11.56,10,10,10,10.77,10,10,6.56,10,10
554,TAMILNADU,THE NILGIRIS,5.02,13.93,14.79,16.5,5.89,12.53,8.03,8,21.4,25.19,3.7,12,12
555,KERALA,PALAKKAD,6.49,5,5,8.2,5,6.97,5.92,3.56,4.68,5.37,5.98,1.88,1.85
556,JHARKHAND,RANCHI,5.76,5,5,5,8,5,5,3.02,5,5,2.82,5,5
557,ANDAMAN & NICOBAR,NICOBAR,4,4,4,4.4,4,4,4,4,4,4,3.91,4,4
558,CHHATTISGARH,RAIGARH,5.54,4,4,4,8.57,4,2.52,2.73,4.04,4,3.13,5.17,3.4
559,ANDHRA PRADESH,Y.S.R.,22.27,23.56,25.46,26.73,27.93,21,21,3.99,21,19.81,21,21,17.45
560,TELANGANA,KARIMNAGAR,9.72,11.13,12.22,9,11.68,12.01,8.57,7.3,9,3.78,5.31,6.15,7.05
561,JHARKHAND,HAZARIBAGH,6.28,6,6,6,9.2,6,6,5.09,6,6,4.49,6,6
562,MADHYA PRADESH,ALIRAJPUR,7.01,5,5,5,9.56,6.79,6.85,1.92,5,1.93,3.6,5,5
563,KARNATAKA,HAVERI,11,8,8,13.86,12.71,8,8,3.34,8,8,4.74,8,4.37
564,ASSAM,DHEMAJI,3.31,3,3.77,3,3,3,3,1.43,3,3,2.61,3,3
565,KARNATAKA,BIJAPUR,7.19,6,6,7.71,9.12,6,6,1.59,6,6,4.77,6,3.76
566,UTTAR PRADESH,MAHOBA,7.21,11.64,20.21,20.27,8.47,20.41,20.02,21.01,24.95,20.68,20.75,20.79,24.13
567,ARUNACHAL PRADESH,EAST KAMENG,7.07,5,5,5,5,5,5,2.38,5,5,5.45,5,5
568,MIZORAM,SAIHA,5,5,5,5,5,5,5,5,5,5,5,5,5
569,DELHI,NORTH WEST,8,8,8,8,8.25,8,8,8.41,8,8.62,8,8.09,8
570,RAJASTHAN,BHILWARA,9.98,10,10,10,12.93,10,10,11.43,10,10,3.97,10,10
571,UTTAR PRADESH,KANNAUJ,9.44,12.75,16.64,16.13,14.7,18.01,17.11,18.3,18.02,17.12,18.56,18.33,21.88
572,MIZORAM,LAWANGTLAI,17,17,17,17,17,17,17,17,17,17,17,17,17
573,RAJASTHAN,TONK,10.01,9,9,9,13.04,9,9,6.22,9,9,5.91,9,9
574,KARNATAKA,CHIKKABALLAPURA,16.5,12,12,16.69,13.98,12,12,4.81,12,12,12.32,12,4.95
575,MADHYA PRADESH,PANNA,6.99,6,6,6,10.05,9.61,2.76,4.47,6,1.79,4.11,6,6
576,UTTAR PRADESH,KAUSHAMBI,10.65,6.17,12.1,7.63,10.56,26.25,13.48,13.11,14.58,13.86,11.92,11.48,21.19
577,ASSAM,BARPETA,3.41,3,3.16,3,3,3,3,2.02,3,3,2.9,3,3
578,ARUNACHAL PRADESH,LOWER SUBANSIRI,6.49,5,5,5,5,5,5,2.35,5,5,5.49,5,5
579,MADHYA PRADESH,KATNI,8.11,6,6,6,9.94,8.9,2.65,3.54,6,1.83,4.09,6,6
580,ODISHA,BALESHWAR,3.64,3,3,4.71,3,3,3,1.39,3,3,1.91,3,3
581,TELANGANA,HYDERABAD,8.76,7.38,7.77,7,11.08,6.46,6.62,5.3,7,6.4,5.15,6.08,11.13
582,ODISHA,NABARANGAPUR,3.95,3,3,5.39,3,3,3,0.55,3,3,2.8,3,3
583,GUJARAT,KACHCHH,13.28,12,12,12,13.61,12,12,11.67,12,12,9.45,12,12
584,KARNATAKA,DAKSHINA KANNADA,7.31,7,7,10.13,9.28,7,7,2.79,7,7,6.05,7,5.41
585,HARYANA,MEWAT,7,7,7,7,7.32,7,7,6.54,7,7.89,7,7,7
586,ARUNACHAL PRADESH,UPPER SUBANSIRI,5.96,5,5,5,5,5,5,2.4,5,5,5.57,5,5
587,HARYANA,KAITHAL,27,27,27,27,25.27,27,27,28.86,27,27.86,27,27,27
588,JHARKHAND,DUMKA,5.85,5,5,5,6.89,5,5,4.52,5,5,3.21,5,5
589,BIHAR,GAYA,5.97,5,5,5,6.98,5,5,4.85,5,5,3.74,5,5
590,MANIPUR,CHURACHANDPUR,5,5,5,5,5,5,5,5,5,5,5,5,5
591,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,5.96,4,4,4,6.02,4,4.26,2.71,2.54,4,3.05,3.06,3.71
592,BIHAR,PASHCHIM CHAMPARAN,3.76,4,4,4,4.67,4,4,3.77,4,4,2.49,4,4
593,GUJARAT,JAMNAGAR,9.92,7,7,7,11.8,7,7,5.13,7,7,3.09,7,7
594,UTTAR PRADESH,KANPUR NAGAR,7.17,8.47,21.04,21.48,15.11,18.77,18.76,19.5,20.43,18.68,21.27,21.89,20.91
595,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,5.94,4,4,4,4,4,4,2.93,4,4,4.46,4,4
596,MADHYA PRADESH,NARSIMHAPUR,8.43,6,6,6,9.04,9.21,2.95,2.17,6,2.37,4.71,6,6
597,MAHARASHTRA,LATUR,12.85,9,9,9,12.17,9,9,9.07,9,9,3.7,9,9
598,WEST BENGAL,JALPAIGURI,4.41,3,3,3.41,3,3,3,1.8,3,3,2.27,3,3
599,PUNJAB,MOGA,27,27,27,27,25.41,27,27,28.66,27,27.82,27,27,27
600,MADHYA PRADESH,GUNA,8.16,6,6,6,14.96,9.18,2.51,2.2,6,1.68,3.53,6,6
601,ODISHA,DEBAGARH,4.2,3,3,5.86,3,3,3,1.12,3,3,2.18,3,3
602,ARUNACHAL PRADESH,KURUNG KUMEY,6.08,5,5,5,5,5,5,2.36,5,5,5.5,5,5
603,MADHYA PRADESH,DINDORI,4.79,4,4,4,6.24,6.7,1.96,1.61,4,2.38,4.07,4,4
604,MADHYA PRADESH,RATLAM,13.69,7,7,7,20.32,4.36,3.35,1.34,7,1.81,3.59,7,7
605,BIHAR,MADHUBANI,2.92,4,4,4,4.03,4,4,5.87,4,4,2.13,4,4
606,DELHI,SOUTH,34,34,34,34,32.88,34,34,34.21,34,33.97,34,34.17,34
607,GUJARAT,KHEDA,12.39,11,11,11,14.41,11,11,9.28,11,11,8.11,11,11
608,TAMILNADU,ARIYALUR,6,10.74,11.36,11.51,7.68,9.67,11.18,6.72,15.82,17.6,3.84,10,10
609,ODISHA,KENDUJHAR,4.61,4,4,4.7,4,4,4,1.98,4,4,2.94,4,4
610,PONDICHERRY,KARAIKAL,2.65,3,3,3,3.84,3,3,4.8,3,3,2.03,3,3
611,MADHYA PRADESH,DHAR,10.84,6,6,6,13.78,7.04,5.97,1.85,6,1.91,3.6,6,6
612,KERALA,KANNUR,7.47,5,5,8.47,5,4.99,4.55,3.56,4.31,4.69,5.4,1.9,1.86
613,TAMILNADU,TIRUNELVELI,5.59,11.95,9.34,11.74,7.68,9.36,9.79,10.84,11.95,20.82,3.67,10,10
614,UTTAR PRADESH,SULTANPUR,5.91,6.14,10.27,10.92,7.06,25.13,12.4,11.44,11.57,11.17,9.87,10.46,21.39
615,MIZORAM,AIZAWL,12,12,12,12,12,12,12,12,12,12,12,12,12
616,TAMILNADU,CHENNAI,5.14,10.6,11.24,11.6,6.24,9.65,11.13,6.71,15.86,17.81,5.43,10,10
617,MAHARASHTRA,AHMADNAGAR,9.7,10,10,10,13.3,10,10,8.73,10,10,7.32,10,10
618,UTTARAKHAND,GARHWAL,10.56,19,19,19,24.86,19,19,19.9,19,19,20.22,19,19
619,TRIPURA,WEST TRIPURA,9.73,9,10.09,9,9,9,9,9.29,9,9,6.7,9,9
620,Ladakh,KARGIL,4.38,4,4,4,5.26,4,4,3.73,4,4,3.18,4,4
621,HIMACHAL PRADESH,CHAMBA,4.46,4,4,4,4.53,4,4,4.97,4,4,3.93,4,4
622,BIHAR,ROHTAS,5.29,6,6,6,9.22,6,6,4.4,6,6,4.63,6,6
623,KERALA,KOTTAYAM,4.81,4,4,5.17,4,4.23,6.75,3.5,4.58,3.52,6.86,1.66,3.26
624,JAMMU & KASHMIR,DODA,2.28,2,2,2,3.4,2,2,2.02,2,2,1.18,2,2
625,ANDHRA PRADESH,CHITTOOR,18.95,23.63,25.26,26.55,24.1,19,19,3.97,19,9.35,19,19,19.71
626,RAJASTHAN,SIROHI,13.66,16,16,16,20.52,16,16,14.11,16,16,15.13,16,16
627,UTTAR PRADESH,AURAIYA,6.23,14.03,28.28,12.26,7.39,13.45,11.83,14.18,13.02,13.56,14.55,14.68,23.34
628,BIHAR,AURANGABAD,5.44,6,6,6,7.45,6,6,6.14,6,6,3.78,6,6
