,State_Name,District_Name,Jan_level,Feb_level,march_level,april_level,may_level,june_level,july_level,aug_level,sep_level,oct_level,nov_level,dec_level,Jan2020_lev
362,KERALA,ERNAKULAM,5.08,4,4,5.16,4,4.29,4.91,4.02,2.19,3.77,6.67,1.72,1.79
363,RAJASTHAN,JAISALMER,41.7,41,41,41,41.56,41,41,42.08,41,41,39.58,41,41
364,ASSAM,CHIRANG,3.47,3,3.92,3,3,3,3,2.1,3,3,3.37,3,3
365,UTTAR PRADESH,BALRAMPUR,4.09,5.59,12.5,12.96,4.77,28.31,15.3,14.98,14.98,15.64,15.14,14.27,22.61
366,CHHATTISGARH,RAJNANDGAON,6.03,4,4,4,7.96,4,5.56,2.96,1.72,4,3.11,2.94,3.19
367,KARNATAKA,CHAMRAJNAGAR,7.86,7,7,6.76,11.35,7,7,8.55,7,7,3.27,7,5.3
368,MADHYA PRADESH,CHHINDWARA,11.97,6,6,6,12.63,8.2,3.14,2.21,6,2.22,4.32,6,6
369,UTTAR PRADESH,MIRZAPUR,7.78,6.16,11.79,11.86,8.22,25.97,12.89,12.36,12.16,11.42,10.74,9.75,22.75
370,KERALA,KOZHIKODE,5.16,5,5,5.82,5,5.14,6.73,3.85,7.11,6.09,3.49,1.89,1.86
371,MANIPUR,SENAPATI,5,5,5,5,5,5,5,5,5,5,5,5,5
372,GUJARAT,SURENDRANAGAR,8.42,7,7,7,9.55,7,7,5.31,7,7,3.81,7,7
373,TRIPURA,DHALAI,4.32,4,4.47,4,4,4,4,3.12,4,4,3.77,4,4
374,UTTAR PRADESH,MATHURA,8.38,23.56,19.42,20.22,11.49,16.02,19.96,19.85,18.99,1342.3,18.23,21.48,23.06
375,TRIPURA,SOUTH TRIPURA,3.45,3,3.61,3,3,3,3,2.84,3,3,2.37,3,3
376,ASSAM,DARRANG,3.57,3,3.81,3,3,3,3,2.39,3,3,3.72,3,3
377,ODISHA,SUNDARGARH,4.79,4,4,6.6,4,4,4,2.09,4,4,2.81,4,4
378,ODISHA,KALAHANDI,3.97,3,3,5.08,3,3,3,1.05,3,3,2.78,3,3
379,MAHARASHTRA,AURANGABAD,11.21,10,10,10,12.93,10,10,9.49,10,10,8.3,10,10
380,RAJASTHAN,UDAIPUR,6.54,6,6,6,9.5,6,6,4.25,6,6,3.94,6,6
381,MAHARASHTRA,RAIGARH,2.51,4,4,4,4.32,4,4,1.01,4,4,8.08,4,4
382,UTTAR PRADESH,RAE BARELI,5.3,6.19,11.12,13.4,9.69,25.43,15.6,14.9,12.87,13.13,12.09,13.73,18.91
383,MADHYA PRADESH,GWALIOR,13.94,9,9,9,13.6,11.17,13.46,3.85,9,1.07,3.95,9,9
384,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,1,1,1,0.89,1,1,1,1,1,1,1.57,1,1
385,UTTAR PRADESH,GHAZIPUR,5.44,6.15,10.41,10.69,7.42,25.34,11.64,10.96,12.01,11.28,9.59,9.71,23.02
386,UTTARAKHAND,CHAMOLI,23.6,27,27,27,30.71,27,27,27.3,27,27,26.42,27,27
387,MADHYA PRADESH,BHIND,15.67,9,9,9,12.88,12.82,14.72,4.1,9,1.05,4.02,9,9
388,UTTAR PRADESH,BULANDSHAHR,9.47,24.39,17.63,14.92,10.91,16.93,16.92,15.87,15.59,15.51,15.72,20.16,21.76
389,UTTAR PRADESH,DEORIA,4.2,5.87,10.87,10.29,5.15,28.85,12.1,11.16,11.8,11.13,9.74,9.58,23.12
390,MADHYA PRADESH,MANDLA,4.93,4,4,4,6.25,6.14,2.36,1.68,4,2.37,4.34,4,4
391,RAJASTHAN,KOTA,5.67,5,5,5,8.37,5,5,2.58,5,5,3.63,5,5
392,UTTAR PRADESH,BANDA,7.56,7.02,18.58,20.78,8.67,20.01,21.84,20.66,20.68,20.6,20.24,20.32,21.47
393,ANDAMAN & NICOBAR,SOUTH ANDAMAN,2,2,2,1.9,2,2,2,2,2,2,2.25,2,2
394,GUJARAT,DOHAD,5.71,5,5,5,8.68,5,5,2.5,5,5,3.51,5,5
395,BIHAR,KATIHAR,4.1,4,4,4,3.84,4,4,6.22,4,4,2.66,4,4
